"Was bedeutet ""Volkssouveränität""?",Die Königin/der König herrscht über das Volk.,Das Bundesverfassungsgericht steht über der Verfassung.,Die Interessenverbände üben die Souveränität zusammen mit der Regierung aus.,Die Staatsgewalt geht vom Volke aus.,Die Staatsgewalt geht vom Volke aus.
"Wenn das Parlament eines deutschen Bundeslandes gewählt wird, nennt man das …",Kommunalwahl,Landtagswahl,Europawahl,Bundestagswahl,Landtagswahl
Was gehört in Deutschland nicht zur Exekutive?,die Polizei,die Gerichte,das Finanzamt,die Ministerien,die Gerichte
Die Bundesrepublik Deutschland ist heute gegliedert in …,vier Besatzungszonen.,einen Oststaat und einen Weststaat.,16 Kantone.,"Bund, Länder und Kommunen.","Bund, Länder und Kommunen."
"Es gehört nicht zu den Aufgaben des Deutschen Bundestages, …",Gesetze zu entwerfen.,die Bundesregierung zu kontrollieren.,die Bundeskanzlerin/den Bundeskanzler zu wählen.,das Bundeskabinett zu bilden.,das Bundeskabinett zu bilden.
Wer schrieb den Text zur deutschen Nationalhymne?,Friedrich von Schiller,Clemens Brentano,Johann Wolfgang von Goethe,Heinrich Hoffmann von Fallersleben,Heinrich Hoffmann von Fallersleben
Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?,Verteidigungspolitik,Außenpolitik,Wirtschaftspolitik,Schulpolitik,Schulpolitik
Warum kontrolliert der Staat in Deutschland das Schulwesen?,weil es in Deutschland nur staatliche Schulen gibt,weil alle Schülerinnen und Schüler einen Schulabschluss haben müssen,weil es in den Bundesländern verschiedene Schulen gibt,weil es nach dem Grundgesetz seine Aufgabe ist,weil es nach dem Grundgesetz seine Aufgabe ist
Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie heißt die unterste politische Stufe?,Stadträte,Landräte,Gemeinden,Bezirksämter,Gemeinden
Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben der deutschen Bundespräsidentin/des deutschen Bundespräsidenten?,Sie/Er führt die Regierungsgeschäfte.,Sie/Er kontrolliert die Regierungspartei.,Sie/Er wählt die Ministerinnen/Minister aus.,Sie/Er schlägt die Kanzlerin/den Kanzler zur Wahl vor.,Sie/Er schlägt die Kanzlerin/den Kanzler zur Wahl vor.
Wo hält sich die deutsche Bundeskanzlerin/der deutsche Bundeskanzler am häufigsten auf? Am häufigsten ist sie/er …,"in Bonn, weil sich dort das Bundeskanzleramt und der Bundestag befinden.","auf Schloss Meseberg, dem Gästehaus der Bundesregierung, um Staatsgäste zu empfangen.","auf Schloss Bellevue, dem Amtssitz der Bundespräsidentin/des Bundespräsidenten, um Staatsgäste zu empfangen.","in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden.","in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden."
Wie heißt die jetzige Bundeskanzlerin/der jetzige Bundeskanzler von Deutschland?,Gerhard Schröder,Angela Merkel,Franziska Giffey,Olaf Scholz,Olaf Scholz
Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit …,CDU/CSU und SPD,Die Linke und Bündnis 90/Die Grünen,FDP und SPD,Die Linke und FDP,CDU/CSU und SPD
Wie heißt das Parlament für ganz Deutschland?,Bundesversammlung,Volkskammer,Bundestag,Bundesgerichtshof,Bundestag
Wie heißt Deutschlands heutiges Staatsoberhaupt?,Frank-Walter Steinmeier,Bärbel Bas,Bodo Ramelow,Joachim Gauck,Frank-Walter Steinmeier
Was bedeutet die Abkürzung CDU in Deutschland?,Christliche Deutsche Union,Club Deutscher Unternehmer,Christlicher Deutscher Umweltschutz,Christlich Demokratische Union,Christlich Demokratische Union
Was ist die Bundeswehr?,die deutsche Polizei,ein deutscher Hafen,eine deutsche Bürgerinitiative,die deutsche Armee,die deutsche Armee
Was bedeutet die Abkürzung SPD?,Sozialistische Partei Deutschlands,Sozialpolitische Partei Deutschlands,Sozialdemokratische Partei Deutschlands,Sozialgerechte Partei Deutschlands,Sozialdemokratische Partei Deutschlands
Was bedeutet die Abkürzung FDP in Deutschland?,Friedliche Demonstrative Partei,Freie Deutschland Partei,Führende Demokratische Partei,Freie Demokratische Partei,Freie Demokratische Partei
Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?,Oberlandesgericht,Amtsgericht,Bundesverfassungsgericht,Verwaltungsgericht,Bundesverfassungsgericht
Wer wählt die Bundeskanzlerin/den Bundeskanzler in Deutschland?,der Bundesrat,die Bundesversammlung,das Volk,der Bundestag,der Bundestag
Wer leitet das deutsche Bundeskabinett?,die Bundestagspräsidentin/der Bundestagspräsident,die Bundespräsidentin/der Bundespräsident,die Bundesratspräsidentin/der Bundesratspräsident,die Bundeskanzlerin/der Bundeskanzler,die Bundeskanzlerin/der Bundeskanzler
Wer wählt die deutsche Bundeskanzlerin/den deutschen Bundeskanzler?,das Volk,die Bundesversammlung,der Bundestag,die Bundesregierung,der Bundestag
Welche Hauptaufgabe hat die deutsche Bundespräsidentin/der deutsche Bundespräsident? Sie/Er …,regiert das Land.,entwirft die Gesetze.,repräsentiert das Land.,überwacht die Einhaltung der Gesetze.,repräsentiert das Land.
Wer bildet den deutschen Bundesrat?,die Abgeordneten des Bundestages,die Ministerinnen und Minister der Bundesregierung,die Regierungsvertreter der Bundesländer,die Parteimitglieder,die Regierungsvertreter der Bundesländer
Wer wählt in Deutschland die Bundespräsidentin/den Bundespräsidenten?,die Bundesversammlung,der Bundesrat,das Bundesparlament,das Bundesverfassungsgericht,die Bundesversammlung
Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?,die Bundeskanzlerin/der Bundeskanzler,die Bundespräsidentin/der Bundespräsident,die Bundesratspräsidentin/der Bundesratspräsident,die Bundestagspräsidentin/der Bundestagspräsident,die Bundespräsidentin/der Bundespräsident
Die parlamentarische Opposition im Deutschen Bundestag …,kontrolliert die Regierung.,"entscheidet, wer Bundesministerin/Bundesminister wird.","bestimmt, wer im Bundesrat sitzt.",schlägt die Regierungschefinnen/Regierungschefs der Länder vor.,kontrolliert die Regierung.
Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?,Verband,Ältestenrat,Fraktion,Opposition,Fraktion
Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch …,den Bundesrat,die Bundesversammlung,den Bundestag,die Bundesregierung,den Bundesrat
In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird …,"schwieriger, wenn sich dadurch die Mehrheit im Bundestag ändert.","leichter, wenn dadurch neue Parteien in den Bundesrat kommen.","schwieriger, wenn dadurch die Mehrheit im Bundesrat verändert wird.","leichter, wenn es sich um ein reiches Bundesland handelt.","schwieriger, wenn dadurch die Mehrheit im Bundesrat verändert wird."
Was bedeutet die Abkürzung CSU in Deutschland?,Christlich Sichere Union,Christlich Süddeutsche Union,Christlich Sozialer Unternehmerverband,Christlich Soziale Union,Christlich Soziale Union
"Je mehr ""Zweitstimmen"" eine Partei bei einer Bundestagswahl bekommt, desto …",weniger Erststimmen kann sie haben.,mehr Direktkandidaten der Partei ziehen ins Parlament ein.,"größer ist das Risiko, eine Koalition bilden zu müssen.",mehr Sitze erhält die Partei im Parlament.,mehr Sitze erhält die Partei im Parlament.
Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?,16,18,21,23,18
Was gilt für die meisten Kinder in Deutschland?,Wahlpflicht,Schulpflicht,Schweigepflicht,Religionspflicht,Schulpflicht
Was muss jede deutsche Staatsbürgerin/jeder deutsche Staatsbürger ab dem 16. Lebensjahr besitzen?,einen Reisepass,einen Personalausweis,einen Sozialversicherungsausweis,einen Führerschein,einen Personalausweis
"Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?",Sozialversicherung,Sozialhilfe,Kindergeld,Wohngeld,Sozialversicherung
"Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, …",dürfen sie nicht mehr an den Sitzungen des Parlaments teilnehmen.,kann die Regierung ihre Mehrheit verlieren.,muss die Bundespräsidentin/der Bundespräsident zuvor ihr/sein Einverständnis geben.,dürfen die Wählerinnen/Wähler dieser Abgeordneten noch einmal wählen.,kann die Regierung ihre Mehrheit verlieren.
Wer bezahlt in Deutschland die Sozialversicherungen?,Arbeitgeberinnen/Arbeitgeber und Arbeitnehmerinnen/Arbeitnehmer,nur Arbeitnehmerinnen/Arbeitnehmer,alle Staatsangehörigen,nur Arbeitgeberinnen/Arbeitgeber,Arbeitgeberinnen/Arbeitgeber und Arbeitnehmerinnen/Arbeitnehmer
Was gehört nicht zur gesetzlichen Sozialversicherung?,die Lebensversicherung,die gesetzliche Rentenversicherung,die Arbeitslosenversicherung,die Pflegeversicherung,die Lebensversicherung
Gewerkschaften sind Interessenverbände der …,Jugendlichen.,Arbeitnehmerinnen und Arbeitnehmer.,Rentnerinnen und Rentner.,Arbeitgeberinnen und Arbeitgeber.,Arbeitnehmerinnen und Arbeitnehmer.
"Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem …",Bundesverdienstkreuz,Bundesadler,Vaterländischen Verdienstorden,"Ehrentitel ""Held der Deutschen Demokratischen Republik""",Bundesverdienstkreuz
"Was wird in Deutschland als ""Ampelkoalition"" bezeichnet? Die Zusammenarbeit …",der Bundestagsfraktionen von CDU und CSU,"von SPD, FDP und Bündnis 90/Die Grünen in einer Regierung","von CSU, Die LINKE und Bündnis 90/Die Grünen in einer Regierung",der Bundestagsfraktionen von CDU und SPD,"von SPD, FDP und Bündnis 90/Die Grünen in einer Regierung"
Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?,Die Frau ist lange krank und arbeitsunfähig.,Die Frau kam oft zu spät zur Arbeit.,Die Frau erledigt private Sachen während der Arbeitszeit.,Die Frau bekommt ein Kind und ihr Chef weiß das.,Die Frau bekommt ein Kind und ihr Chef weiß das.
Was ist eine Aufgabe von Wahlhelferinnen/Wahlhelfern in Deutschland?,Sie helfen alten Menschen bei der Stimmabgabe in der Wahlkabine.,Sie schreiben die Wahlbenachrichtigungen vor der Wahl.,Sie geben Zwischenergebnisse an die Medien weiter.,Sie zählen die Stimmen nach dem Ende der Wahl.,Sie zählen die Stimmen nach dem Ende der Wahl.
In Deutschland helfen ehrenamtliche Wahlhelferinnen und Wahlhelfer bei den Wahlen. Was ist eine Aufgabe von Wahlhelferinnen/Wahlhelfern?,Sie helfen Kindern und alten Menschen beim Wählen.,Sie schreiben Karten und Briefe mit der Angabe des Wahllokals.,Sie geben Zwischenergebnisse an Journalisten weiter.,Sie zählen die Stimmen nach dem Ende der Wahl.,Sie zählen die Stimmen nach dem Ende der Wahl.
Für wie viele Jahre wird der Bundestag in Deutschland gewählt?,2 Jahre,4 Jahre,6 Jahre,8 Jahre,4 Jahre
"Bei einer Bundestagswahl in Deutschland darf jede/jeder wählen, die/der …",in der Bundesrepublik Deutschland wohnt und wählen möchte.,Bürgerin/Bürger der Bundesrepublik Deutschland ist und mindestens 18 Jahre alt ist.,seit mindestens 3 Jahren in der Bundesrepublik Deutschland lebt.,Bürgerin/Bürger der Bundesrepublik Deutschland ist und mindestens 21 Jahre alt ist.,Bürgerin/Bürger der Bundesrepublik Deutschland ist und mindestens 18 Jahre alt ist.
Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?,alle drei Jahre,alle vier Jahre,alle fünf Jahre,alle sechs Jahre,alle vier Jahre
Für wie viele Jahre wird der Bundestag in Deutschland gewählt?,2 Jahre,3 Jahre,4 Jahre,5 Jahre,4 Jahre
In Deutschland darf man wählen. Was bedeutet das?,"Alle deutschen Staatsangehörigen dürfen wählen, wenn sie das Mindestalter erreicht haben.",Nur verheiratete Personen dürfen wählen.,Nur Personen mit einem festen Arbeitsplatz dürfen wählen.,Alle Einwohnerinnen und Einwohner in Deutschland müssen wählen.,"Alle deutschen Staatsangehörigen dürfen wählen, wenn sie das Mindestalter erreicht haben."
Die Wahlen in Deutschland sind …,speziell.,geheim.,berufsbezogen.,geschlechtsabhängig.,geheim.
"Wahlen in Deutschland gewinnt die Partei, die …",die meisten Stimmen bekommt.,die meisten Männer mehrheitlich gewählt haben.,die meisten Stimmen bei den Arbeiterinnen/Arbeitern bekommen hat.,die meisten Erststimmen für ihre Kanzlerkandidatin/ihren Kanzlerkandidaten erhalten hat.,die meisten Stimmen bekommt.
An demokratischen Wahlen in Deutschland teilzunehmen ist …,eine Pflicht.,ein Recht.,ein Zwang.,eine Last.,ein Recht.
"Was bedeutet ""aktives Wahlrecht"" in Deutschland?",Man kann gewählt werden.,Man muss wählen gehen.,Man kann wählen.,Man muss zur Auszählung der Stimmen gehen.,Man kann wählen.
"Wenn Sie bei einer Bundestagswahl in Deutschland wählen dürfen, heißt das …",aktive Wahlkampagne.,aktives Wahlverfahren.,aktiver Wahlkampf.,aktives Wahlrecht.,aktive Wahlkampagne.
"Wie viel Prozent der Zweitstimmen müssen Parteien mindestens bekommen, um in den Deutschen Bundestag gewählt zu werden?",3%,4%,5%,6%,5%
Was regelt das Wahlrecht in Deutschland?,"Wer wählen darf, muss wählen.","Alle die wollen, können wählen.","Wer nicht wählt, verliert das Recht zu wählen.","Wer wählen darf, kann wählen.","Wer wählen darf, kann wählen."
Wahlen in Deutschland sind frei. Was bedeutet das?,Alle verurteilten Straftäterinnen/Straftäter dürfen nicht wählen.,"Wenn ich wählen gehen möchte, muss meine Arbeitgeberin/mein Arbeitgeber mir frei geben.","Jede Person kann ohne Zwang entscheiden, ob sie wählen möchte und wen sie wählen möchte.","Ich kann frei entscheiden, wo ich wählen gehen möchte.","Jede Person kann ohne Zwang entscheiden, ob sie wählen möchte und wen sie wählen möchte."
Das Wahlsystem in Deutschland ist ein …,Zensuswahlrecht.,Dreiklassenwahlrecht.,Mehrheits- und Verhältniswahlrecht.,allgemeines Männerwahlrecht.,Mehrheits- und Verhältniswahlrecht.
Eine Partei möchte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an Wählerstimmen haben. Das heißt …,5%-Hürde.,Zulassungsgrenze.,Basiswert.,Richtlinie.,5%-Hürde.
Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind …,"frei, gleich, geheim.","offen, sicher, frei.","geschlossen, gleich, sicher.","sicher, offen, freiwillig.","frei, gleich, geheim."
"Was ist in Deutschland die ""5%-Hürde""?",Abstimmungsregelung im Bundestag für kleine Parteien,Anwesenheitskontrolle im Bundestag für Abstimmungen,"Mindestanteil an Wählerstimmen, um ins Parlament zu kommen",Anwesenheitskontrolle im Bundesrat für Abstimmungen,"Mindestanteil an Wählerstimmen, um ins Parlament zu kommen"
Die Bundestagswahl in Deutschland ist die Wahl …,der Bundeskanzlerin/des Bundeskanzlers.,der Parlamente der Länder.,des Parlaments für Deutschland.,der Bundespräsidentin/des Bundespräsidenten.,des Parlaments für Deutschland.
